C,Gamma,Akurasi,Precision,Recall,F1-score
10.0,0.1,0.7948717948717948,0.8023604590505999,0.7948717948717948,0.794163366887712
1.0,0.1,0.782051282051282,0.7984264072096465,0.782051282051282,0.7796747142313913
100.0,0.001,0.7794871794871795,0.7899032133178475,0.7794871794871795,0.7765503302770383
0.75,0.1,0.7769230769230769,0.792272577047013,0.7769230769230769,0.7741592894107545
0.5,0.1,0.7692307692307693,0.7814253471678004,0.7692307692307693,0.7657088170501676
100.0,0.1,0.7615384615384615,0.7613818929608404,0.7615384615384615,0.7597411246043048
1.0,1.0,0.764102564102564,0.8247532743589129,0.764102564102564,0.7592835859567302
10.0,1.0,0.7564102564102564,0.8097262101856703,0.7564102564102564,0.7521928564103084
100.0,1.0,0.7564102564102564,0.8097262101856703,0.7564102564102564,0.7521928564103084
0.75,1.0,0.7512820512820513,0.8184664203845791,0.7512820512820513,0.7464072485691816
0.5,1.0,0.7307692307692307,0.8147851054069047,0.7307692307692308,0.7259777453466699
100.0,0.0001,0.7153846153846154,0.7134673012515425,0.7153846153846154,0.7133840630018571
100.0,10.0,0.7,0.8131223424737217,0.7000000000000001,0.6865722034935983
1.0,10.0,0.7,0.8131223424737217,0.7000000000000001,0.6865722034935983
10.0,10.0,0.7,0.8131223424737217,0.7000000000000001,0.6865722034935983
0.75,10.0,0.7,0.8131223424737217,0.7000000000000001,0.6865722034935983
0.25,1.0,0.6794871794871795,0.7929525306698236,0.6794871794871794,0.67086835061034
10.0,0.001,0.6641025641025641,0.6853036201568085,0.6641025641025641,0.6656931347024575
0.25,0.1,0.6615384615384615,0.6857590658960522,0.6615384615384615,0.6622984780144733
0.5,10.0,0.6333333333333333,0.7979067010098532,0.6333333333333333,0.6081619748864452
0.05,0.1,0.5615384615384615,0.6360872582184057,0.5615384615384617,0.5640302647343629
0.25,10.0,0.5512820512820513,0.772955694320547,0.5512820512820512,0.5041926058231986
0.01,0.1,0.49230769230769234,0.6039562289562289,0.49230769230769234,0.48755342945097785
0.05,1.0,0.517948717948718,0.7594020562770561,0.517948717948718,0.46643154947066817
0.01,1.0,0.441025641025641,0.7284696740772718,0.441025641025641,0.3596428883153156
1.0,0.001,0.4461538461538462,0.6873764095986319,0.4461538461538461,0.3584689917262189
10.0,0.0001,0.44358974358974357,0.6856256742179072,0.44358974358974357,0.3557127704235113
0.75,0.001,0.43846153846153846,0.6820292961772062,0.43846153846153846,0.3501381892875895
0.5,0.001,0.4128205128205128,0.3290707587382779,0.41282051282051285,0.31693036560293203
0.05,10.0,0.41794871794871796,0.39340448823207447,0.41794871794871796,0.31169926372806595
0.01,10.0,0.40512820512820513,0.38873239436619716,0.4051282051282052,0.29182547120691454
0.25,0.001,0.382051282051282,0.3087557603686636,0.382051282051282,0.2755498622132078
0.01,0.001,0.36923076923076925,0.2953328677839851,0.36923076923076925,0.24345611549618837
0.05,0.001,0.36923076923076925,0.2953328677839851,0.36923076923076925,0.24345611549618837
0.01,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
1.0,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
0.5,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
0.25,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
0.05,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
0.75,0.0001,0.3641025641025641,0.28425925925925927,0.3641025641025641,0.2352891156462585
